N,Название,Ценник,Чего делать,Чего хотят,URL
29,Техник-лаборант (г. Долгопрудный),44200,57400,Подтверждение качества светлых нефтепродуктов (бензины и дизельные топлива). Ведение отчетной документации в соответствии с системой менеджмента качества испытательной лаборатории и...,"Образование: среднее специальное/ высшее - (химия, нефтехимия). Опыт работы в лаборатории от 3 лет (специфика - нефтепродукты). Знание и опыт прохождения процедуры...",https://hh.ru/vacancy/41595968
30,Главный специалист по КИПиА [id90769],,"Контроль за состоянием и работой, а также соответствующим техническим обслуживанием и своевременным ремонтом осуществляемых силами сервисных организаций КИПиА, аналитического оборудования...","Образование: высшее (техническое). Стаж работы на инженерно-технических должностях в области автоматизации не менее 3 лет. Знание конструктивных особенностей, принципов...",https://hh.ru/vacancy/41635405
31,Главный специалист (инженер-проектировщик по системам водоснабжения и водоотведения),,"Выполнение расчета прочности и жесткости трубопроводов. Выполнение гидравлических расчетов трубопроводов. Разработка ведомостей объемов работ, спецификаций. Подбор оборудования для систем водоснабжения...","Высшее техническое образование. Обязателен опыт проектирования систем водоснабжения и водоотведения не менее 3х лет. Обязателен опыт гидравлических расчетов, опыт...",https://hh.ru/vacancy/41697736
32,SAP Security/Ведущий специалист по информационной безопасности SAP [id9869],,Проведение анализа запросов на доступ к системам SAP в части обеспечения соблюдения требований Информационной безопасности Группы Компаний. Изменение полномочий по...,Опыт работы по направлению Авторизация в SAP / Информационная безопасность SAP - от 2-х лет. Знание средств обеспечения и контроля информационной...,https://hh.ru/vacancy/41723243
33,Главный специалист по информационной безопасности SAP [id9828],,Проведение анализа запросов на доступ к системам SAP в части обеспечения соблюдения требований Информационной безопасности Группы Компаний. Разработка и формирование...,Опыт работы по направлению Авторизация в SAP / Информационная безопасность SAP - от 4-х лет. Знание средств обеспечения и контроля информационной...,https://hh.ru/vacancy/41723338
34,ИТ-архитектор [id73423],,"Внедрение лучших архитектурных практик, повышение уровня зрелости управления корпоративной архитектурой. Проведение аудита текущей ИТ-архитектуры. Формирование стратегии развития ИТ-Архитектуры...","Понимания основных направлений и трендов развития ИТ - архитектуры, плюсов и минусов различных подходов к построению корпоративной архитектуры. Знания современных технологий...",https://hh.ru/vacancy/41757099
35,Начальник отдела по обеспечению качества [id91685],,Разработка и внедрение Системы Менеджмента Качества Проекта в соответствии с требованиями ISO 9001. Разработка методологических основ реализации процесса управления качеством...,"Высшее техническое образование. Опыт разработки и внедрения систем менеджмента качества, соответствующих требованиям ISO 9001, не менее чем на 2-х...",https://hh.ru/vacancy/41759018
36,Главный специалист по отчетности и планированию закупок [id69141],,Сбор и консолидация потребностей подразделений Общества в закупке работ и услуг. Сопровождение процесса формирования годовых планов закупок работ и услуг...,"Высшее образование (техническое, юридическое, экономическое). Опыт организации закупочных процедур по ФЗ 223, составления ГПЗ. Развитые навыки деловой переписки и составления...",https://hh.ru/vacancy/41767563
37,Главный ИТ-архитектор,,"Управление архитектурой предприятия: Разработка и поддержание в актуальном состоянии описаний текущей, целевой ИТ-архитектуры. Ведение соответствующей документации (в том числе...",Опыт работы в предметной области не менее 3 лет. Опыт составления и ведения технической и проектной документации (создании целевых моделей...,https://hh.ru/vacancy/41774871
38,Ведущий специалист производственно-технической службы [id84865],,"Подготовка исходной информации для отчетных документов: о техническом состоянии электросетевого оборудования, линий электропередач. Расчет условных единиц объектов электросетевого хозяйства участвующих...",Высшее электроэнергетическое образование. Стаж работы в аналогичной должности в области электроэнергетики (эксплуатация электрооборудования) не менее 3 - х лет. ,https://hh.ru/vacancy/41776332
